,TEAM,CONF,Power Conference,ADJEM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOM,TOR,RBM,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POSTSEASON,Year
0,Houston,B12,1,1.0,0.753894080996885,0.0,1.0,0.3953488372093026,0.06741573033707926,0.9999999999999999,0.060975609756097615,0.5959183673469388,0.9310344827586206,0.7641509433962265,0.7641509433962259,0.24884792626728092,0.8735632183908048,0.3296703296703294,0.053097345132743445,0.4921875,0.16470588235294104,0.21854304635761546,0.9707112970711298,1.0,3,2024
1,Connecticut,BE,1,0.9954233409610984,1.0,0.284210526315789,0.9901164365014892,0.9689922480620154,0.19101123595505687,0.38216560509554126,0.2073170731707319,0.7183673469387755,0.3448275862068966,0.7452830188679246,0.44339622641509413,0.4055299539170505,0.6245210727969349,0.8846153846153846,0.07964601769911583,0.6484375,0.388235294117647,0.30463576158940375,1.0,1.0,7,2024
2,Purdue,B10,1,0.9496567505720823,0.9719626168224305,0.32280701754385976,0.9809098294069862,0.8837209302325579,0.4831460674157313,0.1401273885350318,0.4024390243902438,0.8408163265306121,0.193103448275862,0.7877358490566039,0.24528301886792425,0.8433179723502302,0.26053639846743304,0.5934065934065935,0.4690265486725669,0.9687499999999996,0.32941176470588207,0.5033112582781452,0.98744769874477,1.0,6,2024
3,Iowa St.,B12,1,0.848970251716247,0.5794392523364484,0.03508771929824528,0.9726509612780936,0.5658914728682172,0.41573033707865203,0.9363057324840763,0.30487804878048785,0.41224489795918384,1.0,0.5141509433962265,0.6886792452830184,0.5345622119815667,0.7279693486590041,0.510989010989011,0.36283185840708,0.5078125,0.3411764705882354,0.5033112582781452,0.8158995815899582,2.0,3,2024
4,Auburn,SEC,1,0.8832951945080094,0.800623052959502,0.23157894736842088,0.9712970484700785,0.7364341085271322,0.0,0.5095541401273884,0.2073170731707319,0.4285714285714285,0.482758620689655,0.5754716981132076,0.773584905660377,0.631336405529954,0.9501915708812262,0.6868131868131866,0.0,0.53125,0.14117647058823524,0.649006622516556,0.7573221757322176,4.0,1,2024
5,Arizona,P12,1,0.8672768878718535,0.8255451713395643,0.284210526315789,0.9649336582724071,0.8062015503875966,0.5955056179775289,0.4267515923566878,0.35365853658536617,0.8612244897959183,0.4758620689655173,0.7358490566037735,0.09433962264150919,0.5622119815668203,0.363984674329502,0.6703296703296702,0.4424778761061945,0.6796875,0.564705882352941,0.794701986754967,0.7322175732217574,2.0,3,2024
6,Tennessee,SEC,1,0.7871853546910752,0.6417445482866047,0.19999999999999973,0.9454373138369889,0.5348837209302326,0.22471910112359605,0.573248407643312,0.1707317073170731,0.47755102040816316,0.5310344827586206,0.5518867924528302,0.6132075471698113,0.4516129032258063,0.7509578544061303,0.5054945054945055,0.1327433628318584,0.453125,0.32941176470588207,0.609271523178808,0.7698744769874477,2.0,4,2024
7,Marquette,BE,1,0.784897025171625,0.744548286604362,0.31929824561403475,0.9381261846737068,0.8139534883720927,0.7078651685393265,0.7324840764331211,0.13414634146341475,0.12653061224489798,0.6827586206896552,0.2500000000000001,0.8207547169811318,0.05069124423963145,0.45977011494252873,0.7472527472527473,0.5663716814159296,0.5781249999999996,0.5882352941176472,0.6026490066225159,0.7991631799163181,2.0,3,2024
8,North Carolina,ACC,1,0.7688787185354689,0.6791277258566981,0.2701754385964912,0.935012185215272,0.5193798449612399,0.33707865168539364,0.3312101910828025,0.14634146341463428,0.7020408163265305,0.2551724137931035,0.5707547169811319,0.13207547169811296,0.5668202764976957,0.46360153256704983,0.43406593406593386,0.2831858407079646,0.546875,0.32941176470588207,0.688741721854305,0.8033472803347281,1.0,3,2024
9,Creighton,BE,1,0.7803203661327229,0.7975077881619939,0.3859649122807016,0.9328459247224477,1.0,0.33707865168539364,0.038216560509553965,0.25609756097561,0.37551020408163255,0.0,0.24528301886792458,0.23584905660377364,0.0,0.0,1.0,0.2566371681415931,0.6015625,0.42352941176470615,0.45695364238410674,0.7112970711297072,3.0,3,2024
